q-crq|vbz Who's
cc-acp but
cst that
pns11 I
vvb love
pno21 thee
av-js best
, ,
uh O
av-ds most
av-js best
, ,
vvb believe
pn31 it
. .
uh-n Adieu
. .
“ “
po21 Thine
av evermore
, ,
av-ds most
j-jn dear
n1 lady
, ,
cs whilst
d this
n1 machine
vbz is
p-acp to
pno31 him
, ,
np1 HAMLET
. .
d This
, ,
p-acp in
n1 obedience
, ,
vhz hath
po11 my
n1 daughter
vvn shown
pno11 me
, ,
cc And
av-dc more
a-acp above
, ,
vhz hath
po31 his
n2-vvg solicitings
, ,
c-acp As
pns32 they
vvd fell
av out
p-acp by
n1 time
, ,
p-acp by
n2 means
cc and
n1 place
, ,
d All
vvn given
p-acp to
po11 mine
n1 ear
. .
cc-acp But
q-crq how
vhz hath
pns31 she
vvd Received
po31 his
n1 love
? ?
q-crq What
vdb do
pn22 you
vvi think
pp-f of
pno11 me
? ?
p-acp As
pp-f of
dt a
n1 man
j faithful
cc and
j honourable
. .
pns11 I
vmd would
av fain
vvi prove
av so
. .
cc-acp But
q-crq what
vmd might
pn22 you
vvi think
, ,
c-crq When
pns11 I
vhd had
vvn seen
d this
j hot
n1 love
p-acp on
dt the
n1 wing
c-acp As
pns11 I
vvd perceived
pn31 it
, ,
pns11 I
vmb must
vvi tell
pn22 you
cst that
, ,
c-acp Before
po11 my
n1 daughter
vvd told
pno11 me
— —
q-crq what
vmd might
pn22 you
, ,
cc Or
po11 my
j-jn dear
n1 majesty
po22 your
n1 queen
av here
, ,
vvb think
, ,
cs If
pns11 I
vhd had
vvn played
dt the
n1 desk
cc or
n1 table-book
, ,
cc Or
vvn given
po11 my
n1 heart
dt a
n-vvg winking
, ,
j-jn mute
cc and
j dumb
, ,
cc Or
vvn looked
p-acp upon
d this
n1 love
pp with
j idle
n1 sight
; ;
q-crq What
vmd might
pn22 you
vvi think
? ?
uh-dx No
, ,
pns11 I
vvd went
av-j round
p-acp to
n1 work
, ,
cc And
po11 my
j young
n1 mistress
av thus
pns11 I
vdd did
vvi bespeak
: :
“ “
n1 Lord
np1 Hamlet
vbz is
dt a
n1 prince
, ,
av out
pp-f of
po21 thy
n1 star
; ;
d This
vmb must
xx not
vbi be
: :
” ”
cc and
av then
pns11 I
n2 prescripts
vvd gave
pno31 her
, ,
cst That
pns31 she
vmd should
vvi lock
px31 herself
pp from
po31 his
n1 resort
, ,
vvb Admit
dx no
n2 messengers
, ,
vvb receive
dx no
n2 tokens
. .
r-crq Which
vdn done
, ,
pns31 she
vvd took
dt the
n2 fruits
pp-f of
po11 my
n1 advice
; ;
cc And
pns31 he
vvn repelled
, ,
dt a
j short
n1 tale
pc-acp to
vvi make
vvd Fell
pp into
dt a
n1 sadness
, ,
av then
pp into
dt a
n1 fast
, ,
av Thence
p-acp to
dt a
n1 watch
, ,
av thence
pp into
dt a
n1 weakness
, ,
av Thence
p-acp to
dt a
n1 lightness
, ,
cc and
, ,
p-acp by
d this
n1 declension
, ,
pp Into
dt the
n1 madness
c-crq wherein
av now
pns31 he
vvz raves
, ,
cc And
d all
pns12 we
vvb mourn
p-acp for
. .
vdb Do
pn22 you
vvi think
pn31|vbz 'tis
d this
? ?
pn31 It
vmb may
vbi be
, ,
av very
j like
. .
vhz Hath
pc-acp there
vbn been
d such
dt a
n1 time
pns11 I
vmd would
av fain
vvi know
d that
cst That
pns11 I
vhb have
av-j positively
vvn said
“ “
pn31|vbz 'Tis
av so
, ,
” ”
c-crq When
pn31 it
vvd proved
av otherwise
? ?
xx Not
cst that
pns11 I
vvb know
. .
vvb Take
d this
pp from
d this
, ,
cs if
d this
vbb be
av otherwise
: :
cs If
n2 circumstances
vvb lead
pno11 me
, ,
pns11 I
vmb will
vvi find
c-crq Where
n1 truth
vbz is
vvn hid
, ,
c-acp though
pn31 it
vbd were
vvn hid
av indeed
p-acp Within
dt the
n1 centre
. .
q-crq How
vmb may
pns12 we
vvi try
pn31 it
av-jc further
? ?
pn22 You
vvb know
, ,
av sometimes
pns31 he
vvz walks
crd four
n2 hours
av together
av Here
p-acp in
dt the
n1 lobby
. .
av So
pns31 he
vdz does
av indeed
. .
pp At
d such
dt a
n1 time
pns11|vmb I'll
vvi loose
po11 my
n1 daughter
p-acp to
pno31 him
: :
vbb Be
pn22 you
cc and
pns11 I
p-acp behind
dt an
n1 arras
av then
; ;
vvb Mark
dt the
n1 encounter
: :
cs if
pns31 he
vvb love
pno31 her
xx not
cc And
vbb be
xx not
pp from
po31 his
n1 reason
vvn fall'n
av thereon
, ,
vvb Let
pno11 me
vbi be
dx no
n1 assistant
p-acp for
dt a
n1 state
, ,
cc-acp But
vvi keep
dt a
n1 farm
cc and
n2 carters
. .
pns12 We
vmb will
vvi try
pn31 it
. .
cc-acp But
, ,
vvb look
, ,
c-crq where
av-j sadly
dt the
j poor
n1 wretch
vvz comes
vvg reading
. .
av Away
, ,
pns11 I
vdb do
vvi beseech
pn22 you
, ,
av-d both
av away
: :
pns11|vmb I'll
vvi board
pno31 him
av-j presently
. .
uh O
, ,
vvb give
pno11 me
n1 leave
: :
q-crq How
vdz does
po11 my
j good
n1 Lord
np1 Hamlet
? ?
uh-av Well
, ,
uh God-a-mercy
. .
vdb Do
pn22 you
vvi know
pno11 me
, ,
po11 my
n1 lord
? ?
j Excellent
av well
; ;
pn22 you
vbb are
dt a
n1 fishmonger
. .
xx Not
pns11 I
, ,
po11 my
n1 lord
. .
av Then
pns11 I
vmd would
pn22 you
vbd were
av so
j honest
dt a
n1 man
. .
j Honest
, ,
po11 my
n1 lord
! !
uh Ay
, ,
n1 sir
; ;
pc-acp to
vbi be
j honest
, ,
c-acp as
d this
n1 world
vvz goes
, ,
vbz is
pc-acp to
vbi be
crd one
n1 man
vvn picked
av out
pp-f of
crd ten
crd thousand
. .
d|vbz That's
av very
j true
, ,
po11 my
n1 lord
. .
p-acp For
cs if
dt the
n1 sun
vvb breed
n2 maggots
p-acp in
dt a
j dead
n1 dog
, ,
vbg being
dt a
j good
j-vvg kissing
n1 carrion
, ,
vhb Have
pn22 you
dt a
n1 daughter
? ?
pns11 I
vhb have
, ,
po11 my
n1 lord
. .
vvb Let
pno31 her
xx not
vvi walk
p-acp i'
dt the
n1 sun
: :
n1 conception
vbz is
dt a
n-vvg blessing
: :
cc-acp but
c-acp as
po22 your
n1 daughter
vmb may
vvi conceive
. .
n1 Friend
, ,
vvb look
p-acp|pn31 to't
. .
q-crq How
vvb say
pn22 you
p-acp by
d that
? ?
av Still
vvg harping
p-acp on
po11 my
n1 daughter
: :
av yet
pns31 he
vvd knew
pno11 me
xx not
pp at
ord first
; ;
pns31 'a
vvd said
pns11 I
vbd was
dt a
n1 fishmonger
: :
pns31 'a
vbz is
av-j far
vvn gone
; ;
cc and
av-j truly
p-acp in
po11 my
n1 youth
pns11 I
vvd suffered
d much
n1 extremity
p-acp for
n1 love
; ;
av very
av-j near
d this
. .
pns11|vmb I'll
vvi speak
p-acp to
pno31 him
av again
. .
q-crq What
vdb do
pn22 you
vvi read
, ,
po11 my
n1 lord
? ?
n2 Words
, ,
n2 words
, ,
n2 words
. .
q-crq What
vbz is
dt the
n1 matter
, ,
po11 my
n1 lord
? ?
p-acp Between
q-crq who
? ?
pns11 I
vvb mean
, ,
dt the
n1 matter
cst that
pn22 you
vvb read
, ,
po11 my
n1 lord
. .
n2 Slanders
, ,
n1 sir
: :
p-acp for
dt the
j satirical
n1 rogue
vvz says
av here
cst that
j old
n2 men
vhb have
j-jn grey
n2 beards
, ,
cst that
po32 their
n2 faces
vbb are
vvn wrinkled
, ,
po32 their
n2 eyes
vvg purging
j thick
n1 amber
cc and
n1 plum-tree
n1 gum
cc and
cst that
pns32 they
vhb have
dt a
j plentiful
n1 lack
pp-f of
n1 wit
, ,
av together
pp with
av-ds most
j weak
n2 hams
: :
d all
r-crq which
, ,
n1 sir
, ,
c-acp though
pns11 I
av-ds most
av-j powerfully
cc and
av-j potently
vvb believe
, ,
av yet
pns11 I
vvb hold
pn31 it
xx not
n1 honesty
pc-acp to
vhi have
pn31 it
av thus
vvn set
a-acp down
, ,
p-acp for
px21 yourself
, ,
n1 sir
, ,
vmb shall
vvi grow
j old
c-acp as
pns11 I
vbm am
, ,
cs if
av-j like
dt a
n1 crab
pn22 you
vmd could
vvi go
av-j backward
. .
c-acp Though
d this
vbb be
n1 madness
, ,
av yet
pc-acp there
vbz is
n1 method
p-acp|pn31 in't
. .
vmb Will
pn22 you
vvi walk
av out
pp-f of
dt the
n1 air
, ,
po11 my
n1 lord
? ?
pp Into
po11 my
n1 grave
. .
av Indeed
, ,
d|vbz that's
av out
pp-f of
dt the
n1 air
. .
c-crq How
j pregnant
av sometimes
po31 his
n2 replies
vbb are
! !
dt a
n1 happiness
cst that
av often
n1 madness
vvz hits
a-acp on
, ,
r-crq which
n1 reason
cc and
n1 sanity
vmd could
xx not
av so
av-j prosperously
vbi be
vvn delivered
pp-f of
. .
pns11 I
vmb will
vvi leave
pno31 him
, ,
cc and
av-j suddenly
vvi contrive
dt the
n2 means
pp-f of
vvg meeting
p-acp between
pno31 him
cc and
po11 my
n1 daughter
. .
po11 My
n1 lord
, ,
pns11 I
vmb will
vvi take
po11 my
n1 leave
pp-f of
pn22 you
. .
pn22 You
vmbx cannot
vvi take
pp from
pno11 me
d any
n1 thing
cst that
pns11 I
vmb will
xx not
av-dc more
av-vvg willingly
vvb part
av withal
: :
c-acp except
po11 my
n1 life
, ,
c-acp except
po11 my
n1 life
, ,
c-acp except
po11 my
n1 life
. .
vvb Fare
pn22 you
av well
, ,
po11 my
n1 lord
. .
d These
j tedious
j old
n2 fools
! !
pn22 You
vvb go
pc-acp to
vvi seek
dt the
n1 Lord
np1 Hamlet
; ;
a-acp there
pns31 he
vbz is
. .
np1 God
vvb save
pn22 you
, ,
n1 sir
! !
po11 My
j-vvn honoured
n1 lord
! !
po11 My
av-ds most
j-jn dear
n1 lord
! !
po11 My
j excellent
j good
n2 friends
! !
q-crq How
vd2 dost
pns21 thou
, ,
np1 Guildenstern
? ?
uh Ah
, ,
np1 Rosencrantz
! !
j Good
n2 lads
, ,
q-crq how
vdb do
pn22 you
d both
? ?
p-acp As
dt the
j indifferent
n2 children
pp-f of
dt the
n1 earth
. .
j Happy
, ,
p-acp in
cst that
pns12 we
vbb are
xx not
j overhappy
; ;
p-acp On
ng1 fortune's
n1 cap
pns12 we
vbb are
xx not
dt the
j very
n1 button
. .
ccx Nor
dt the
n2 soles
pp-f of
po31 her
n1 shoe
? ?
av-dx Neither
, ,
po11 my
n1 lord
. .
av Then
pn22 you
vvb live
p-acp about
po31 her
n1 waist
, ,
cc or
p-acp in
dt the
n-jn middle
pp-f of
po31 her
n2 favours
? ?
uh-n 'Faith
, ,
po31 her
n2-j privates
pns12 we
. .
p-acp In
dt the
j-jn secret
n2 parts
pp-f of
n1 fortune
? ?
uh O
, ,
av-ds most
j true
; ;
pns31 she
vbz is
dt a
n1 strumpet
. .
q-crq What
n1 news
? ?
pix None
, ,
po11 my
n1 lord
, ,
cc-acp but
dt the
n1|vbz world's
vvn grown
j honest
. .
av Then
vbz is
n1 doomsday
av-j near
: :
cc-acp but
po22 your
n1 news
vbz is
xx not
j true
. .
vvb Let
pno11 me
vvi question
av-dc more
p-acp in
j particular
: :
q-crq what
vhb have
pn22 you
, ,
po11 my
j good
n2 friends
, ,
vvn deserved
pp at
dt the
n2 hands
pp-f of
n1 fortune
, ,
cst that
pns31 she
vvz sends
pn22 you
p-acp to
n1 prison
av hither
? ?
n1 Prison
, ,
po11 my
n1 lord
! !
np1|vbz Denmark's
dt a
n1 prison
. .
av Then
vbz is
dt the
n1 world
crd one
. .
dt A
j goodly
pi one
; ;
p-acp in
r-crq which
pc-acp there
vbb are
d many
n2 confines
, ,
n2 wards
cc and
n2 dungeons
, ,
np1 Denmark
vbg being
crd one
pp-f o'
dt the
js worst
. .
pns12 We
vvb think
xx not
av so
, ,
po11 my
n1 lord
. .
uh-crq Why
, ,
av then
, ,
pn31|vbz 'tis
pix none
p-acp to
pn22 you
; ;
c-acp for
pc-acp there
vbz is
pix nothing
av-d either
j good
cc or
j bad
, ,
cc-acp but
vvg thinking
vvz makes
pn31 it
av so
: :
p-acp to
pno11 me
pn31 it
vbz is
dt a
n1 prison
. .
uh-crq Why
av then
, ,
po22 your
n1 ambition
vvz makes
pn31 it
pi one
; ;
pn31|vbz 'tis
av too
j narrow
p-acp for
po22 your
n1 mind
. .
uh O
np1 God
, ,
pns11 I
vmd could
vbi be
vvn bounded
p-acp in
dt a
n1 nutshell
cc and
vvi count
px11 myself
dt a
n1 king
pp-f of
j infinite
n1 space
, ,
vbd were
pn31 it
xx not
cst that
pns11 I
vhb have
j bad
n2 dreams
. .
r-crq Which
n2 dreams
av indeed
vbb are
n1 ambition
, ,
p-acp for
dt the
j very
n1 substance
pp-f of
dt the
j ambitious
vbz is
av-j merely
dt the
n1 shadow
pp-f of
dt a
n1 dream
. .
dt A
n1 dream
px31 itself
vbz is
p-acp but
dt a
n1 shadow
. .
av-j Truly
, ,
cc and
pns11 I
vvb hold
n1 ambition
pp-f of
av so
j airy
cc and
j light
dt a
n1 quality
cst that
pn31 it
vbz is
p-acp but
dt a
ng1 shadow's
n1 shadow
. .
av Then
vbb are
po12 our
n2 beggars
n2 bodies
, ,
cc and
po12 our
n2 monarchs
cc and
j-vvn outstretched
n2 heroes
dt the
ng2 beggars'
n2 shadows
. .
vmb Shall
pns12 we
p-acp to
dt the
n1 court
? ?
c-acp for
, ,
p-acp by
po11 my
n1 fay
, ,
pns11 I
vmbx cannot
vvi reason
. .
pns12|vmb We'll
vvi wait
p-acp upon
pn22 you
. .
dx No
d such
n1 matter
: :
pns11 I
vmb will
xx not
vvi sort
pn22 you
pp with
dt the
n1 rest
pp-f of
po11 my
n2 servants
, ,
p-acp for
, ,
pc-acp to
vvi speak
p-acp to
pn22 you
vvb like
dt an
j honest
n1 man
, ,
pns11 I
vbm am
av-ds most
av-j dreadfully
vvn attended
. .
cc-acp But
, ,
p-acp in
dt the
j-vvn beaten
n1 way
pp-f of
n1 friendship
, ,
q-crq what
vvb make
pn22 you
pp at
np1 Elsinore
? ?
pc-acp To
vvi visit
pn22 you
, ,
po11 my
n1 lord
; ;
dx no
j-jn other
n1 occasion
. .
n1 Beggar
cst that
pns11 I
vbm am
, ,
pns11 I
vbm am
av-j even
j poor
p-acp in
n2 thanks
; ;
cc-acp but
pns11 I
vvb thank
pn22 you
: :
cc and
av-j sure
, ,
j-jn dear
n2 friends
, ,
po11 my
n2 thanks
vbb are
av too
av-jn dear
dt a
n1 halfpenny
. .
vbd Were
pn22 you
xx not
vvn sent
p-acp for
? ?
vbz Is
pn31 it
po22 your
d own
n-vvg inclining
? ?
vbz Is
pn31 it
dt a
j free
n1 visitation
? ?
vvb Come
, ,
vvb come
vvb deal
av-j justly
pp with
pno11 me
: :
vvb come
, ,
vvb come
; ;
uh nay
, ,
vvb speak
. .
q-crq What
vmd should
pns12 we
vvi say
, ,
po11 my
n1 lord
? ?
d Any
n1 thing
, ,
cc-acp but
p-acp to
dt the
n1 purpose
. .
pn22 You
vbd were
vvn sent
p-acp for
; ;
cc and
pc-acp there
vbz is
dt a
n1 kind
pp-f of
n1 confession
p-acp in
po22 your
n2 looks
r-crq which
po22 your
n2 modesties
vhb have
xx not
n1 craft
av-d enough
pc-acp to
vvi colour
: :
pns11 I
vvb know
dt the
j good
n1 king
cc and
n1 queen
vhb have
vvn sent
p-acp for
pn22 you
. .
p-acp To
q-crq what
n1 end
, ,
po11 my
n1 lord
? ?
d That
pn22 you
vmb must
vvi teach
pno11 me
. .
cc-acp But
vvb let
pno11 me
vvi conjure
pn22 you
, ,
p-acp by
dt the
n2-jn rights
pp-f of
po12 our
n1 fellowship
, ,
p-acp by
dt the
n1 consonancy
pp-f of
po12 our
n1 youth
, ,
p-acp by
dt the
n1 obligation
pp-f of
po12 our
j ever-preserved
n1 love
, ,
cc and
p-acp by
r-crq what
dc more
j-jn dear
dt a
jc better
n1 proposer
vmb can
vvi charge
pn22 you
av withal
, ,
vbb be
av-j even
cc and
j direct
pp with
pno11 me
, ,
cs whether
pn22 you
vbd were
vvn sent
p-acp for
, ,
cc or
xx no
? ?
q-crq What
vvb say
pn22 you
? ?
uh Nay
, ,
av then
, ,
pns11 I
vhb have
dt an
n1 eye
pp-f of
pn22 you
. .
cs If
pn22 you
vvb love
pno11 me
, ,
vvb hold
xx not
a-acp off
. .
po11 My
n1 lord
, ,
pns12 we
vbd were
vvn sent
p-acp for
. .
pns11 I
vmb will
vvi tell
pn22 you
c-crq why
; ;
av so
vmb shall
po11 my
n1 anticipation
vvi prevent
po22 your
n1 discovery
, ,
cc and
po22 your
n1 secrecy
p-acp to
dt the
n1 king
cc and
n1 queen
vvb moult
dx no
n1 feather
. .
pns11 I
vhb have
pp-f of
av-j late
— —
cc-acp but
q-crq wherefore
pns11 I
vvb know
xx not
vvn lost
d all
po11 my
n1 mirth
, ,
vvn forgone
d all
n1 custom
pp-f of
n2 exercises
; ;
cc and
av indeed
pn31 it
vvz goes
av so
av-j heavily
pp with
po11 my
n1 disposition
cst that
d this
j goodly
n1 frame
, ,
dt the
n1 earth
, ,
vvz seems
p-acp to
pno11 me
dt a
j sterile
n1 promontory
, ,
d this
av-ds most
j excellent
n1 canopy
, ,
dt the
n1 air
, ,
vvb look
pn22 you
, ,
d this
j brave
j-vvg o'erhanging
n1 firmament
, ,
d this
j majestical
n1 roof
vvn fretted
pp with
j golden
n1 fire
, ,
c-crq why
, ,
pn31 it
vvz appeareth
pix nothing
p-acp to
pno11 me
p-acp but
dt a
j foul
cc and
j pestilent
n1 congregation
pp-f of
n2 vapours
. .
q-crq What
dt a
n1 piece
pp-f of
n1 work
vbz is
dt a
n1 man
! !
c-crq how
j noble
p-acp in
n1 reason
! !
c-crq how
j infinite
p-acp in
n2 faculties
! !
p-acp in
n1 form
cc and
n-vvg moving
c-crq how
j express
cc and
j admirable
! !
p-acp in
n1 action
c-crq how
av-j like
dt an
n1 angel
! !
p-acp in
n1 apprehension
c-crq how
av-j like
dt a
n1 god
! !
dt the
n1 beauty
pp-f of
dt the
n1 world
! !
dt the
n1 paragon
pp-f of
n2 animals
! !
cc And
av yet
, ,
p-acp to
pno11 me
, ,
q-crq what
vbz is
d this
n1 quintessence
pp-f of
n1 dust
? ?
n1 man
vvz delights
xx not
pno11 me
: :
ccx nor
n2 women
av-dx neither
, ,
c-acp though
p-acp by
po22 your
n-vvg smiling
pn22 you
vvb seem
pc-acp to
vvi say
av so
. .
po11 My
n1 lord
, ,
pc-acp there
vbd was
dx no
d such
n1 stuff
p-acp in
po11 my
n2 thoughts
. .
q-crq Why
vdd did
pn22 ye
vvi laugh
av then
, ,
c-crq when
pns11 I
vvd said
“ “
n1 man
vvz delights
xx not
pno11 me
” ”
? ?
pc-acp To
vvi think
, ,
po11 my
n1 lord
, ,
cs if
pn22 you
vvb delight
xx not
p-acp in
n1 man
, ,
r-crq what
j lenten
n1 entertainment
dt the
n2 players
vmb shall
vvi receive
pp from
pn22 you
: :
pns12 we
vvd coted
pno32 them
p-acp on
dt the
n1 way
; ;
cc and
av hither
vbb are
pns32 they
vvg coming
, ,
pc-acp to
vvi offer
pn22 you
n1 service
. .
pns31 He
cst that
vvz plays
dt the
n1 king
vmb shall
vbi be
j-jn welcome
; ;
po31 his
n1 majesty
vmb shall
vhi have
n1 tribute
p-acp on
pno11 me
; ;
dt the
j adventurous
n1 knight
vmb shall
vvi use
po31 his
n1 foil
cc and
n1 target
; ;
dt the
n1 lover
vmb shall
xx not
vvi sigh
av gratis
; ;
dt the
j humorous
n1 man
vmb shall
vvi end
po31 his
n1 part
p-acp in
n1 peace
; ;
dt the
n1 clown
vmb shall
vvi make
d those
vvi laugh
r-crq whose
n2 lungs
vbb are
j tickle
pp-f a'
dt the
j sere
; ;
cc and
dt the
n1 lady
vmb shall
vvi say
po31 her
n1 mind
av-j freely
, ,
cc or
dt the
j blank
n1 verse
vmb shall
vvi halt
p-acp|pn31 for't
. .
q-crq What
n2 players
vbb are
pns32 they
? ?
av-j Even
d those
pn22 you
vbd were
j wont
pc-acp to
vvi take
d such
n1 delight
p-acp in
, ,
dt the
n2 tragedians
pp-f of
dt the
n1 city
. .
q-crq How
vvz chances
pn31 it
pns32 they
vvb travel
? ?
po32 their
n1 residence
, ,
av-d both
p-acp in
n1 reputation
cc and
n1 profit
, ,
vbd was
av-jc better
av-d both
n2 ways
. .
pns11 I
vvb think
po32 their
n1 inhibition
vvz comes
p-acp by
dt the
n2 means
pp-f of
dt the
j late
n1 innovation
. .
vdb Do
pns32 they
vvi hold
dt the
d same
n1 estimation
pns32 they
vdd did
c-crq when
pns11 I
vbd was
p-acp in
dt the
n1 city
? ?
vbb are
pns32 they
av so
vvn followed
? ?
uh-dx No
, ,
av indeed
, ,
vbb are
pns32 they
xx not
. .
q-crq How
vvz comes
pn31 it
? ?
vdb do
pns32 they
vvi grow
j rusty
? ?
uh Nay
, ,
po32 their
n1 endeavour
vvz keeps
p-acp in
dt the
j wonted
n1 pace
: :
cc-acp but
pc-acp there
vbz is
, ,
n1 sir
, ,
dt an
n1 aery
pp-f of
n2 children
, ,
j little
n2 eyases
, ,
cst that
vvb cry
av out
p-acp on
dt the
n1 top
pp-f of
n1 question
, ,
cc and
vbb are
av-ds most
av-j tyrannically
vvn clapped
p-acp|pn31 for't
: :
d these
vbb are
av now
dt the
n1 fashion
, ,
cc and
av so
vvb berattle
dt the
j common
n2 stages
— —
av so
pns32 they
vvb call
pno32 them
cst that
d many
vvg wearing
n2 rapiers
vbb are
j afraid
pp-f of
n2 goose-quills
cc and
vvb dare
av-j scarce
vvi come
av thither
. .
q-crq What
, ,
vbb are
pns32 they
n2 children
? ?
q-crq who
vvz maintains
pno32 'em
? ?
q-crq how
vbb are
pns32 they
vvn escoted
? ?
vmb Will
pns32 they
vvi pursue
dt the
n1 quality
av-dx no
av-jc longer
cs than
pns32 they
vmb can
vvi sing
? ?
vmb will
pns32 they
xx not
vvi say
av afterwards
, ,
cs if
pns32 they
vmd should
vvi grow
px32 themselves
p-acp to
j common
n2 players
c-acp as
pn31 it
vbz is
av-ds most
j like
, ,
cs if
po32 their
n2 means
vbb are
av-dx no
av-jc better
po32 their
n2 writers
vdb do
pno32 them
j-jn wrong
, ,
pc-acp to
vvi make
pno32 them
vvi exclaim
pp against
po32 their
d own
n1 succession
? ?
uh-n 'Faith
, ,
pc-acp there
vhz has
vbn been
d much
pc-acp to
vdi do
p-acp on
d both
n2 sides
; ;
cc and
dt the
n1 nation
vvz holds
pn31 it
dx no
n1 sin
p-acp to
vvi tarre
pno32 them
p-acp to
n1 controversy
: :
pc-acp there
vbd was
, ,
p-acp for
dt a
n1 while
, ,
dx no
n1 money
vvn bid
p-acp for
n1 argument
, ,
cs unless
dt the
n1 poet
cc and
dt the
n1 player
vvd went
p-acp to
n2 cuffs
p-acp in
dt the
n1 question
. .
vbz|pn31 Is't
j possible
? ?
uh O
, ,
pc-acp there
vhz has
vbn been
av-d much
n-vvg throwing
a-acp about
pp-f of
n2 brains
. .
vdb Do
dt the
n2 boys
vvi carry
pn31 it
av away
? ?
uh Ay
, ,
cst that
pns32 they
vdb do
, ,
po11 my
n1 lord
; ;
np1 Hercules
cc and
po31 his
n1 load
av too
. .
pn31 It
vbz is
xx not
av very
j strange
; ;
p-acp for
po11 my
n1 uncle
vbz is
n1 king
pp-f of
np1 Denmark
, ,
cc and
d those
cst that
vmd would
vvi make
n2 mouths
pp at
pno31 him
cs while
po11 my
n1 father
vvd lived
, ,
vvb give
crd twenty
, ,
crd forty
, ,
crd fifty
, ,
dt an
crd hundred
n2 ducats
av a-piece
p-acp for
po31 his
n1 picture
p-acp in
j little
. .
uh 'Sblood
, ,
pc-acp there
vbz is
pi something
p-acp in
d this
dc more
cs than
j natural
, ,
cs if
n1 philosophy
vmd could
vvi find
pn31 it
av out
. .
pc-acp There
vbb are
dt the
n2 players
. .
n2 Gentlemen
, ,
pn22 you
vbb are
j-jn welcome
p-acp to
np1 Elsinore
. .
po22 Your
n2 hands
, ,
vvb come
av then
: :
dt the
n1 appurtenance
pp-f of
n-jn welcome
vbz is
n1 fashion
cc and
n1 ceremony
: :
vvb let
pno11 me
vvi comply
pp with
pn22 you
p-acp in
d this
n1 garb
, ,
cs lest
po11 my
n1 extent
p-acp to
dt the
n2 players
, ,
r-crq which
, ,
pns11 I
vvb tell
pn22 you
, ,
vmb must
vvi show
av-j fairly
av-j outward
, ,
vmd should
av-dc more
vvi appear
av-j like
n1 entertainment
cs than
png22 yours
. .
pn22 You
vbb are
j-jn welcome
: :
cc-acp but
po11 my
n1 uncle-father
cc and
n1 aunt-mother
vbb are
vvn deceived
. .
p-acp In
q-crq what
, ,
po11 my
j-jn dear
n1 lord
? ?
pns11 I
vbm am
p-acp but
j mad
n1 north-north-west
: :
c-crq when
dt the
n1 wind
vbz is
j southerly
pns11 I
vvb know
dt a
n1 hawk
pp from
dt a
n1 handsaw
. .
av Well
vbb be
pp with
pn22 you
, ,
n2 gentlemen
! !
vvb Hark
pn22 you
, ,
np1 Guildenstern
; ;
cc and
pn22 you
av too
: :
pp at
d each
n1 ear
dt a
n1 hearer
: :
cst that
j great
n1 baby
pn22 you
vvb see
pc-acp there
vbz is
xx not
av yet
av out
pp-f of
po31 his
n2 swaddling-clouts
. .
av-j Happily
pns31 he
vbz is
dt the
ord second
n1 time
vvb come
p-acp to
pno32 them
; ;
c-acp for
pns32 they
vvb say
dt an
j old
n1 man
vbz is
av twice
dt a
n1 child
. .
pns11 I
vmb will
vvi prophesy
pns31 he
vvz comes
pc-acp to
vvi tell
pno11 me
pp-f of
dt the
n2 players
; ;
vvb mark
pn31 it
. .
pn22 You
vvb say
av-jn right
, ,
n1 sir
: :
pp-f a'
np1 Monday
n1 morning
; ;
pn31|vbd 'twas
av then
av indeed
. .
po11 My
n1 lord
, ,
pns11 I
vhb have
n1 news
pc-acp to
vvi tell
pn22 you
. .
po11 My
n1 lord
, ,
pns11 I
vhb have
n1 news
pc-acp to
vvi tell
pn22 you
. .
c-crq When
np1 Roscius
vbd was
dt an
n1 actor
p-acp in
np1 Rome
, ,
dt The
n2 actors
vbb are
vvn come
av hither
, ,
po11 my
n1 lord
. .
uh-v Buzz
, ,
uh-v buzz
! !
p-acp Upon
po11 my
n1 honour
, ,
av Then
vvd came
d each
n1 actor
p-acp on
po31 his
n1 ass
, ,
dt The
js best
n2 actors
p-acp in
dt the
n1 world
, ,
av-d either
p-acp for
n1 tragedy
, ,
n1 comedy
, ,
n1 history
, ,
n-jn pastoral
, ,
j pastoral-comical
, ,
j historical-pastoral
, ,
j tragical-historical
, ,
j tragical-comical-historical-pastoral
, ,
n1 scene
j individable
, ,
cc or
n1 poem
j unlimited
: :
np1 Seneca
vmbx cannot
vbi be
av too
j heavy
, ,
ccx nor
np1 Plautus
av too
j light
. .
p-acp For
dt the
n1 law
pp-f of
n1 writ
cc and
dt the
n1 liberty
, ,
d these
vbb are
dt the
av-j only
n2 men
. .
uh O
np1 Jephthah
, ,
n1 judge
pp-f of
np1 Israel
, ,
q-crq what
dt a
n1 treasure
vhd2 hadst
pns21 thou
! !
q-crq What
dt a
n1 treasure
vhd had
pns31 he
, ,
po11 my
n1 lord
? ?
uh-crq Why
, ,
crd One
j fair
n1 daughter
, ,
cc and
av-dx no
av-dc more
, ,
dt The
r-crq which
pns31 he
vvd loved
av-vvg passing
av well
. .
av Still
p-acp on
po11 my
n1 daughter
. .
vbm Am
pns11 I
xx not
p-acp i'
dt the
n-jn right
, ,
j old
np1 Jephthah
? ?
cs If
pn22 you
vvb call
pno11 me
np1 Jephthah
, ,
